"pred","obs","模型"
0.149707272691605,0,"基础模型 (仅 X)"
0.0202320539234109,0,"基础模型 (仅 X)"
0.049577137771925,0,"基础模型 (仅 X)"
0.0942797296334794,0,"基础模型 (仅 X)"
0.195797900965683,0,"基础模型 (仅 X)"
0.0494457436724277,0,"基础模型 (仅 X)"
0.022870009622855,0,"基础模型 (仅 X)"
0.0248196417163098,0,"基础模型 (仅 X)"
0.0492696830945888,0,"基础模型 (仅 X)"
0.165981543735836,0,"基础模型 (仅 X)"
0.43759639821008,0,"基础模型 (仅 X)"
0.439525492485707,1,"基础模型 (仅 X)"
0.392884923456802,0,"基础模型 (仅 X)"
0.103752806509557,0,"基础模型 (仅 X)"
0.178985415860834,0,"基础模型 (仅 X)"
0.0615863352333961,0,"基础模型 (仅 X)"
0.135478492885991,0,"基础模型 (仅 X)"
0.0283092235548351,0,"基础模型 (仅 X)"
0.0156467496013234,0,"基础模型 (仅 X)"
0.0830582874555086,0,"基础模型 (仅 X)"
0.446757095639427,0,"基础模型 (仅 X)"
0.021030460933239,0,"基础模型 (仅 X)"
0.0999577423956909,0,"基础模型 (仅 X)"
0.639277724430785,1,"基础模型 (仅 X)"
0.142519508876757,0,"基础模型 (仅 X)"
0.0678359240563292,1,"基础模型 (仅 X)"
0.0703650755713606,1,"基础模型 (仅 X)"
0.0165171323463129,0,"基础模型 (仅 X)"
0.271694988569048,0,"基础模型 (仅 X)"
0.277583172059221,0,"基础模型 (仅 X)"
0.0637061431085061,0,"基础模型 (仅 X)"
0.458406672192315,1,"基础模型 (仅 X)"
0.174939186513242,0,"基础模型 (仅 X)"
0.162950062694295,0,"基础模型 (仅 X)"
0.160525279183326,0,"基础模型 (仅 X)"
0.0769787969963404,0,"基础模型 (仅 X)"
0.491816566549995,1,"基础模型 (仅 X)"
0.0176028998917158,0,"基础模型 (仅 X)"
0.0629079388573254,0,"基础模型 (仅 X)"
0.597735664212022,0,"基础模型 (仅 X)"
0.0227354379233968,0,"基础模型 (仅 X)"
0.127086975907449,0,"基础模型 (仅 X)"
0.035384626002377,0,"基础模型 (仅 X)"
0.198038542286473,0,"基础模型 (仅 X)"
0.0609854888682305,0,"基础模型 (仅 X)"
0.142382273679072,0,"基础模型 (仅 X)"
0.325146006637294,0,"基础模型 (仅 X)"
0.194002766326252,0,"基础模型 (仅 X)"
0.0653424556055626,0,"基础模型 (仅 X)"
0.0420147123887306,0,"基础模型 (仅 X)"
0.185165790832694,0,"基础模型 (仅 X)"
0.357132297594905,1,"基础模型 (仅 X)"
0.0856587483459249,0,"基础模型 (仅 X)"
0.44604989007077,0,"基础模型 (仅 X)"
0.141444385728656,0,"基础模型 (仅 X)"
0.0858286692262429,0,"基础模型 (仅 X)"
0.513695096243514,0,"基础模型 (仅 X)"
0.0362329340916155,0,"基础模型 (仅 X)"
0.352549444621753,0,"基础模型 (仅 X)"
0.320907891409738,0,"基础模型 (仅 X)"
0.023908717354057,0,"基础模型 (仅 X)"
0.076997739934174,0,"基础模型 (仅 X)"
0.0249623170307806,0,"基础模型 (仅 X)"
0.106095246463894,0,"基础模型 (仅 X)"
0.119519555504522,0,"基础模型 (仅 X)"
0.0951512070827243,0,"基础模型 (仅 X)"
0.153831237415558,0,"基础模型 (仅 X)"
0.297900891167922,1,"基础模型 (仅 X)"
0.0585522203612122,0,"基础模型 (仅 X)"
0.348179952272078,1,"基础模型 (仅 X)"
0.33848160955282,1,"基础模型 (仅 X)"
0.0361915669401703,0,"基础模型 (仅 X)"
0.023386615259573,0,"基础模型 (仅 X)"
0.123690999793462,0,"基础模型 (仅 X)"
0.0295466530754417,0,"基础模型 (仅 X)"
0.259991342318958,0,"基础模型 (仅 X)"
0.402958957253053,1,"基础模型 (仅 X)"
0.331895110553751,0,"基础模型 (仅 X)"
0.0350438524616568,0,"基础模型 (仅 X)"
0.141562988377472,0,"基础模型 (仅 X)"
0.0358258629052722,0,"基础模型 (仅 X)"
0.103693468485514,0,"基础模型 (仅 X)"
0.0169035566944669,0,"基础模型 (仅 X)"
0.549064029632396,1,"基础模型 (仅 X)"
0.393624631632036,0,"基础模型 (仅 X)"
0.186775774516882,0,"基础模型 (仅 X)"
0.0619803030970882,0,"基础模型 (仅 X)"
0.039603891787735,0,"基础模型 (仅 X)"
0.192121067973723,0,"基础模型 (仅 X)"
0.114358045400534,0,"基础模型 (仅 X)"
0.0209624040668404,0,"基础模型 (仅 X)"
0.0222719519823332,0,"基础模型 (仅 X)"
0.0623028409353944,0,"基础模型 (仅 X)"
0.402059768653636,1,"基础模型 (仅 X)"
0.289934282633935,1,"基础模型 (仅 X)"
0.628302206098063,1,"基础模型 (仅 X)"
0.0129609340376663,0,"基础模型 (仅 X)"
0.244913744757576,0,"基础模型 (仅 X)"
0.0519812074100888,0,"基础模型 (仅 X)"
0.0517966107950239,0,"基础模型 (仅 X)"
0.0386952141222142,0,"基础模型 (仅 X)"
0.173421699453274,0,"基础模型 (仅 X)"
0.0609063837574299,0,"基础模型 (仅 X)"
0.572076053880912,0,"基础模型 (仅 X)"
0.0353057037217152,0,"基础模型 (仅 X)"
0.397651504839069,1,"基础模型 (仅 X)"
0.0681435086559637,0,"基础模型 (仅 X)"
0.291623905741239,0,"基础模型 (仅 X)"
0.0143949632908105,0,"基础模型 (仅 X)"
0.126301711912083,0,"基础模型 (仅 X)"
0.478314601072757,1,"基础模型 (仅 X)"
0.0499602587573837,0,"基础模型 (仅 X)"
0.0630350241529696,0,"基础模型 (仅 X)"
0.29080580829169,1,"基础模型 (仅 X)"
0.0581390030648432,0,"基础模型 (仅 X)"
0.0416632302761304,0,"基础模型 (仅 X)"
0.035609171764867,0,"基础模型 (仅 X)"
0.180784864154652,0,"基础模型 (仅 X)"
0.176746372349547,0,"基础模型 (仅 X)"
0.116219578707641,0,"基础模型 (仅 X)"
0.108852386189379,0,"基础模型 (仅 X)"
0.130299765794217,0,"基础模型 (仅 X)"
0.244628481851393,0,"基础模型 (仅 X)"
0.232825013968671,0,"基础模型 (仅 X)"
0.528439962086685,0,"基础模型 (仅 X)"
0.20580206956616,0,"基础模型 (仅 X)"
0.0129524173457418,0,"基础模型 (仅 X)"
0.17135126491819,0,"基础模型 (仅 X)"
0.299628960905941,1,"基础模型 (仅 X)"
0.148108245637175,0,"基础模型 (仅 X)"
0.445422542058099,1,"基础模型 (仅 X)"
0.117212422415714,0,"基础模型 (仅 X)"
0.0411379577310985,0,"基础模型 (仅 X)"
0.0764689893444935,0,"基础模型 (仅 X)"
0.0136854153270744,0,"基础模型 (仅 X)"
0.075550729848577,0,"基础模型 (仅 X)"
0.0564285464158431,0,"基础模型 (仅 X)"
0.0962993398903909,0,"基础模型 (仅 X)"
0.342142761187403,0,"基础模型 (仅 X)"
0.0820499737683938,0,"基础模型 (仅 X)"
0.623939514050217,1,"基础模型 (仅 X)"
0.0334996063647372,0,"基础模型 (仅 X)"
0.248206269148409,0,"基础模型 (仅 X)"
0.249503183235485,0,"基础模型 (仅 X)"
0.482693710696982,0,"基础模型 (仅 X)"
0.0377433166979313,0,"基础模型 (仅 X)"
0.0478343440276241,0,"基础模型 (仅 X)"
0.0373893056451681,0,"基础模型 (仅 X)"
0.297733275937841,1,"基础模型 (仅 X)"
0.531998818314042,0,"基础模型 (仅 X)"
0.254055103625486,1,"基础模型 (仅 X)"
0.392255654700947,1,"基础模型 (仅 X)"
0.402191275839976,0,"基础模型 (仅 X)"
0.0216426442634374,0,"基础模型 (仅 X)"
0.0637236958532042,0,"基础模型 (仅 X)"
0.0769608401089981,0,"基础模型 (仅 X)"
0.0199206159324553,0,"基础模型 (仅 X)"
0.361419183123193,0,"基础模型 (仅 X)"
0.112880276293325,0,"基础模型 (仅 X)"
0.44174540270537,0,"基础模型 (仅 X)"
0.236894743458154,1,"基础模型 (仅 X)"
0.388613349839433,1,"基础模型 (仅 X)"
0.112327267794691,0,"基础模型 (仅 X)"
0.72253456007987,1,"基础模型 (仅 X)"
0.0818146667224433,0,"基础模型 (仅 X)"
0.361600584323594,0,"基础模型 (仅 X)"
0.268941497389029,0,"基础模型 (仅 X)"
0.471839101584647,1,"基础模型 (仅 X)"
0.04722184074434,0,"基础模型 (仅 X)"
0.277124780901934,0,"基础模型 (仅 X)"
0.123290843024613,0,"基础模型 (仅 X)"
0.379603463754595,1,"基础模型 (仅 X)"
0.335580588028647,1,"基础模型 (仅 X)"
0.034996208247293,0,"基础模型 (仅 X)"
0.0803311644756365,0,"基础模型 (仅 X)"
0.0323510522425536,0,"基础模型 (仅 X)"
0.151264116482814,0,"基础模型 (仅 X)"
0.362814186849978,0,"基础模型 (仅 X)"
0.0199525514845773,0,"基础模型 (仅 X)"
0.0577656626892468,0,"基础模型 (仅 X)"
0.320410999139773,0,"基础模型 (仅 X)"
0.424898786174465,0,"基础模型 (仅 X)"
0.494642793444418,0,"基础模型 (仅 X)"
0.221436132025258,0,"基础模型 (仅 X)"
0.25178373829182,0,"基础模型 (仅 X)"
0.279734435346657,0,"基础模型 (仅 X)"
0.0154950428378257,0,"基础模型 (仅 X)"
0.143408826939757,0,"基础模型 (仅 X)"
0.0106683123843295,0,"基础模型 (仅 X)"
0.124581142392977,0,"基础模型 (仅 X)"
0.347435197506775,1,"基础模型 (仅 X)"
0.471321826344371,0,"基础模型 (仅 X)"
0.316831138547866,0,"基础模型 (仅 X)"
0.196263301689954,0,"基础模型 (仅 X)"
0.0247376180840192,0,"基础模型 (仅 X)"
0.0550964603889338,0,"基础模型 (仅 X)"
0.0348675690156828,0,"基础模型 (仅 X)"
0.0142784048074549,0,"基础模型 (仅 X)"
0.0834635689940081,0,"基础模型 (仅 X)"
0.0132938657804078,0,"基础模型 (仅 X)"
0.0197432284278863,0,"基础模型 (仅 X)"
0.0562391031126788,1,"基础模型 (仅 X)"
0.231199001066189,1,"基础模型 (仅 X)"
0.364362636982666,1,"基础模型 (仅 X)"
0.503701458109198,0,"基础模型 (仅 X)"
0.0137132827343128,0,"基础模型 (仅 X)"
0.275579013757213,0,"基础模型 (仅 X)"
0.0310651182123685,0,"基础模型 (仅 X)"
0.182316948290912,0,"基础模型 (仅 X)"
0.0500102141883902,0,"基础模型 (仅 X)"
0.134698289839445,0,"基础模型 (仅 X)"
0.288479402938199,1,"基础模型 (仅 X)"
0.0681190313427822,0,"基础模型 (仅 X)"
0.0558927636141175,0,"基础模型 (仅 X)"
0.0252517709906552,0,"基础模型 (仅 X)"
0.17764631901739,0,"基础模型 (仅 X)"
0.207567328096945,0,"基础模型 (仅 X)"
0.024168718115782,0,"基础模型 (仅 X)"
0.0368256495732961,0,"基础模型 (仅 X)"
0.215218846437281,0,"基础模型 (仅 X)"
0.596711047048102,0,"基础模型 (仅 X)"
0.237288228827796,0,"基础模型 (仅 X)"
0.0408591461821669,0,"基础模型 (仅 X)"
0.0977959998759568,0,"基础模型 (仅 X)"
0.424706755799734,1,"基础模型 (仅 X)"
0.0392799309273675,0,"基础模型 (仅 X)"
0.0115296009374305,0,"基础模型 (仅 X)"
0.0507434834288112,0,"基础模型 (仅 X)"
0.0526233757388948,0,"基础模型 (仅 X)"
0.209506377281182,0,"基础模型 (仅 X)"
0.592699261773323,1,"基础模型 (仅 X)"
0.059726481917384,0,"基础模型 (仅 X)"
0.250466979787291,0,"基础模型 (仅 X)"
0.0653441451051847,0,"基础模型 (仅 X)"
0.355396628902385,1,"基础模型 (仅 X)"
0.0262287890912081,0,"基础模型 (仅 X)"
0.165029097659275,0,"基础模型 (仅 X)"
0.116519765163965,0,"基础模型 (仅 X)"
0.0262080180754074,0,"基础模型 (仅 X)"
0.0513625375723237,1,"基础模型 (仅 X)"
0.213460081329402,0,"基础模型 (仅 X)"
0.0552782087362647,0,"基础模型 (仅 X)"
0.39565223385477,0,"基础模型 (仅 X)"
0.0321824030490699,0,"基础模型 (仅 X)"
0.0914596275050928,0,"基础模型 (仅 X)"
0.0894673131611014,0,"基础模型 (仅 X)"
0.107390042075539,0,"基础模型 (仅 X)"
0.000275615453436463,0,"基础模型 (仅 X)"
0.0148971064297352,0,"基础模型 (仅 X)"
0.227144558029755,0,"基础模型 (仅 X)"
0.0373610304244506,0,"基础模型 (仅 X)"
0.0729109353329326,0,"基础模型 (仅 X)"
0.26197349816418,0,"基础模型 (仅 X)"
0.501260556465158,1,"基础模型 (仅 X)"
0.0961962398478948,0,"基础模型 (仅 X)"
0.4437475735808,1,"基础模型 (仅 X)"
0.0329159035462276,0,"基础模型 (仅 X)"
0.277435227886613,0,"基础模型 (仅 X)"
0.0432343075510356,0,"基础模型 (仅 X)"
0.0699181219309762,0,"基础模型 (仅 X)"
0.120713933488926,0,"基础模型 (仅 X)"
0.0472177332461337,0,"基础模型 (仅 X)"
0.125568862374218,0,"基础模型 (仅 X)"
0.0848050784993655,0,"基础模型 (仅 X)"
0.175113126445461,0,"基础模型 (仅 X)"
0.216386910745004,1,"基础模型 (仅 X)"
0.574773249107133,1,"基础模型 (仅 X)"
0.244294227143231,0,"基础模型 (仅 X)"
0.0152292693198384,0,"基础模型 (仅 X)"
0.0303575115183918,0,"基础模型 (仅 X)"
0.0163432493952472,0,"基础模型 (仅 X)"
0.0938285217326309,1,"基础模型 (仅 X)"
0.0324870387424976,0,"基础模型 (仅 X)"
0.0968679483498392,1,"基础模型 (仅 X)"
0.080333208214879,0,"基础模型 (仅 X)"
0.454423342386806,0,"基础模型 (仅 X)"
0.467282915682115,0,"基础模型 (仅 X)"
0.088028336694998,0,"基础模型 (仅 X)"
0.0466133755554146,0,"基础模型 (仅 X)"
0.373788171973624,1,"基础模型 (仅 X)"
0.0501600768039851,0,"基础模型 (仅 X)"
0.299603997315742,0,"基础模型 (仅 X)"
0.0515378032461727,0,"基础模型 (仅 X)"
0.165467417803941,0,"基础模型 (仅 X)"
0.218464770202124,0,"基础模型 (仅 X)"
0.354011023840111,1,"基础模型 (仅 X)"
0.0472524570357557,0,"基础模型 (仅 X)"
0.0155844206340202,0,"基础模型 (仅 X)"
0.0583841758091016,0,"基础模型 (仅 X)"
0.135094410010304,0,"基础模型 (仅 X)"
0.0283341248596462,0,"基础模型 (仅 X)"
0.0480912211162898,0,"基础模型 (仅 X)"
0.543340547365202,0,"基础模型 (仅 X)"
0.660382997011251,1,"基础模型 (仅 X)"
0.246429399770111,0,"基础模型 (仅 X)"
0.146426608216962,0,"基础模型 (仅 X)"
0.450265115099175,0,"基础模型 (仅 X)"
0.107921118834462,0,"基础模型 (仅 X)"
0.0408602303140151,0,"基础模型 (仅 X)"
0.0484922499751747,0,"基础模型 (仅 X)"
0.0983395192193912,0,"基础模型 (仅 X)"
0.0465790984391512,0,"基础模型 (仅 X)"
0.133695983548176,0,"基础模型 (仅 X)"
0.40856200457969,0,"基础模型 (仅 X)"
0.104857680438802,0,"基础模型 (仅 X)"
0.0738351769594748,0,"基础模型 (仅 X)"
0.233940357053612,0,"基础模型 (仅 X)"
0.297993213536197,0,"基础模型 (仅 X)"
0.591483136670449,0,"基础模型 (仅 X)"
0.25302654613343,0,"基础模型 (仅 X)"
0.0235723731639653,0,"基础模型 (仅 X)"
0.0128463984758665,0,"基础模型 (仅 X)"
0.1183098525182,1,"基础模型 (仅 X)"
0.048808141552531,0,"基础模型 (仅 X)"
0.168599004459127,1,"基础模型 (仅 X)"
0.0162583377118073,0,"基础模型 (仅 X)"
0.016258780165604,0,"基础模型 (仅 X)"
0.10922659130077,0,"基础模型 (仅 X)"
0.265567908024356,0,"基础模型 (仅 X)"
0.441778272219575,1,"基础模型 (仅 X)"
0.16144327427339,0,"基础模型 (仅 X)"
0.468594429899982,0,"基础模型 (仅 X)"
0.077483178487349,0,"基础模型 (仅 X)"
0.0315325447521131,0,"基础模型 (仅 X)"
0.206239240943639,0,"基础模型 (仅 X)"
0.0443816040526268,0,"基础模型 (仅 X)"
0.114839845507505,0,"基础模型 (仅 X)"
0.0295657542543835,0,"基础模型 (仅 X)"
0.216427423810364,0,"基础模型 (仅 X)"
0.160858052379747,1,"基础模型 (仅 X)"
0.0312007382967166,0,"基础模型 (仅 X)"
0.02819310904637,0,"基础模型 (仅 X)"
0.227068457886678,0,"基础模型 (仅 X)"
0.0210236636440697,0,"基础模型 (仅 X)"
0.196978839361033,0,"基础模型 (仅 X)"
0.0350483599218731,0,"基础模型 (仅 X)"
0.431288662915779,1,"基础模型 (仅 X)"
0.0488260434253841,0,"基础模型 (仅 X)"
0.394885957894453,0,"基础模型 (仅 X)"
0.229142955737869,0,"基础模型 (仅 X)"
0.027965123701884,0,"基础模型 (仅 X)"
0.175263135515655,1,"基础模型 (仅 X)"
0.0333055104907248,0,"基础模型 (仅 X)"
0.0935473939521904,0,"基础模型 (仅 X)"
0.0368161955369758,0,"基础模型 (仅 X)"
0.0451730177692741,0,"基础模型 (仅 X)"
0.326923104278484,1,"基础模型 (仅 X)"
0.0285802124018229,0,"基础模型 (仅 X)"
0.218708029773368,1,"基础模型 (仅 X)"
0.528536032665047,1,"基础模型 (仅 X)"
0.228634451290218,0,"基础模型 (仅 X)"
0.0512001127245146,0,"基础模型 (仅 X)"
0.260808682244761,0,"基础模型 (仅 X)"
0.102071744906504,1,"基础模型 (仅 X)"
0.0592004308057515,0,"基础模型 (仅 X)"
0.314673112941394,0,"基础模型 (仅 X)"
0.254634039587036,0,"基础模型 (仅 X)"
0.226979838445157,0,"基础模型 (仅 X)"
0.0116843414337334,0,"基础模型 (仅 X)"
0.188484053891982,1,"基础模型 (仅 X)"
0.0159972284859612,0,"基础模型 (仅 X)"
0.290328657497525,1,"基础模型 (仅 X)"
0.0491967790165022,0,"基础模型 (仅 X)"
0.0227839566111521,0,"基础模型 (仅 X)"
0.0642981786823386,0,"基础模型 (仅 X)"
0.364957359073415,0,"基础模型 (仅 X)"
0.372472324679886,0,"基础模型 (仅 X)"
0.427514629954537,0,"基础模型 (仅 X)"
0.116154034767335,0,"基础模型 (仅 X)"
0.0984012407434447,0,"基础模型 (仅 X)"
0.0472338358116005,0,"基础模型 (仅 X)"
0.0133631406350841,0,"基础模型 (仅 X)"
0.0297763821936072,0,"基础模型 (仅 X)"
0.0613706051480664,1,"基础模型 (仅 X)"
0.111942577015869,0,"基础模型 (仅 X)"
0.535348736469902,1,"基础模型 (仅 X)"
0.0112747029495921,0,"基础模型 (仅 X)"
0.0555539476845603,0,"基础模型 (仅 X)"
